Device,Kokkos,OpenMP (target),oneDPL,OpenMP,SYCL
NVIDIA A100,28.07416380578715,X,X,X,X
2 x Intel® Xeon® Gold 6230,76.77000000000001,X,36.409361702127654,55.9131914893617,15.634978723404252
1 x Intel® Xeon® Gold 6230,79.19148936170214,X,69.10921985815602,56.955276595744685,26.02543262411347
AMD MI100,48.247265625000004,36.24903971354166,X,X,X
2 x AMD EPYC 7742,55.497753906250004,X,X,72.21093749999999,X
Intel® Iris® Pro 580,X,38.80885630498533,70.48193548387096,X,74.08011730205278
