Device,Kokkos,Kokkos (SYCL),OpenMP (target),oneDPL,OpenMP,Raja,SYCL
NVIDIA A100,27.64455125061305,X,85.20304070622853,X,X,30.35798921039725,X
2 x Intel® Xeon® Gold 6230,74.70801418439717,X,X,36.86950354609929,83.18836879432624,79.18489361702127,27.889936170212763
1 x Intel® Xeon® Gold 6230,76.98978723404255,X,X,71.17829787234042,83.6876595744681,80.42198581560285,31.826836879432623
AMD MI100,74.55069986979167,X,23.59996744791667,X,X,27.101676432291672,X
2 x AMD EPYC 7742,79.90126953125001,X,X,X,80.29624023437499,79.51679687499998,X
Intel® Iris® Pro 580,X,77.87290322580645,66.99812316715541,80.60199413489735,X,X,62.61565982404692
