Device,Kokkos,OpenMP (target),OpenMP,Raja,SYCL
NVIDIA A100,2.447510544384502,56.366356056890645,X,47.58400196174596,X
2 x Intel® Xeon® Gold 6230,73.3090780141844,X,75.80595744680852,68.73943262411348,7.554872340425532
1 x Intel® Xeon® Gold 6230,72.16851063829786,X,75.85375886524824,70.89746099290781,8.634851063829787
AMD MI100,6.975862630208334,15.559391276041664,X,52.652506510416664,X
2 x AMD EPYC 7742,78.114208984375,X,85.88798828125,79.31826171874998,X
Intel® Iris® Pro 580,21.675859237536656,12.315818181818178,X,X,44.74627565982405
