Device,Kokkos,Kokkos (SYCL),OpenMP (target),oneDPL,OpenMP,Raja,SYCL
NVIDIA A100,30.29653751839137,X,X,X,X,41.178057871505644,X
2 x Intel® Xeon® Gold 6230,80.62234042553193,X,X,36.58440425531915,85.48539007092198,14.562553191489364,28.382808510638302
1 x Intel® Xeon® Gold 6230,82.96794326241135,X,X,76.20822695035461,86.64751773049646,57.78093617021276,50.78780141843973
AMD MI100,76.555419921875,X,36.66824544270833,X,X,44.48476562499999,X
2 x AMD EPYC 7742,82.16035156249998,X,X,X,82.477197265625,9.2140673828125,X
Intel® Iris® Pro 580,X,80.21964809384166,71.37554252199413,82.86246334310852,X,X,74.9517302052786
