Device,Kokkos,Kokkos (SYCL),OpenMP (target),oneDPL,OpenMP,Raja,SYCL
NVIDIA A100,19.000147130946537,X,X,X,X,X,X
2 x Intel® Xeon® Gold 6230,43.330070921985815,X,X,36.5186524822695,45.39255319148936,39.72709219858155,5.9514680851063835
1 x Intel® Xeon® Gold 6230,44.2969219858156,X,X,75.04028368794326,46.17422695035461,40.002212765957445,6.479802836879434
AMD MI100,69.48167317708334,X,X,X,X,X,X
2 x AMD EPYC 7742,62.676708984375004,X,X,X,79.476171875,70.92504882812499,X
Intel® Iris® Pro 580,X,29.354422287390026,51.80709677419354,X,X,X,43.343225806451606
