Device,Kokkos,Kokkos (SYCL),OpenMP (target),oneDPL,OpenMP,Raja,SYCL
NVIDIA A100,62.04149092692496,X,86.89661598822953,X,X,50.73261402648358,X
2 x Intel® Xeon® Gold 6230,78.64517730496453,X,X,37.70496453900709,83.33524822695034,79.03028368794325,25.374539007092206
1 x Intel® Xeon® Gold 6230,80.60936170212767,X,X,72.1550354609929,83.76099290780141,80.36141843971632,41.77112056737589
AMD MI100,74.42980143229167,X,49.41111653645834,X,X,48.66295572916666,X
2 x AMD EPYC 7742,80.18154296875,X,X,X,80.09560546875,79.16953125,X
Intel® Iris® Pro 580,X,80.59853372434019,68.95724340175953,78.60727272727271,X,X,75.811788856305
