arch,model,compiler,kernel,bandwidth
cxl, sycl, dpcpp, complex_min, 43.0989
cxl, sycl, dpcpp, field_summary, 16.5827
cxl, sycl, dpcpp, describe, 15.933

cxl, omp, icpc, dot, 228.063
cxl, omp, icpc, complex_sum, 63.6918
cxl, omp, icpc, complex_sum_soa, 235.675
cxl, omp, icpc, complex_min, 25.5567
cxl, omp, icpc, field_summary, 195.335
cxl, omp, icpc, describe, 137.375
cxl, kokkos, icpc, dot,232.854
cxl, kokkos, icpc, complex_sum,240.525
cxl, kokkos, icpc, complex_sum_soa,230.666
cxl, kokkos, icpc, complex_min,145.884
cxl, kokkos, icpc, field_summary,195.397
cxl, kokkos, icpc, describe,129.551
cxl, raja, icpc, dot,232.782
cxl, raja, icpc, complex_sum,38.589
cxl, raja, icpc, complex_sum_soa,235.997
cxl, raja, icpc, field_summary,172.984
cxl, sycl, dpcpp, dot,76.5882
cxl, sycl, dpcpp, complex_sum,91.9406
cxl, sycl, dpcpp, complex_sum_soa,76.9667
cxl, sycl, dpcpp, complex_min,38.1367
cxl, sycl, dpcpp, field_summary,17.1335
cxl, sycl, dpcpp, describe,15.5728

cxl, omp, icpc, dot, 233.129
cxl, omp, icpc, complex_sum, 63.7481
cxl, omp, icpc, complex_sum_soa, 154.023
cxl, omp, icpc, complex_min, 25.4825
cxl, omp, icpc, field_summary, 190.75
cxl, omp, icpc, describe, 137.227
cxl, kokkos, icpc, dot, 231.307
cxl, kokkos, icpc, complex_sum, 237.237
cxl, kokkos, icpc, complex_sum_soa,230.939
cxl, kokkos, icpc, complex_min, 145.037
cxl, kokkos, icpc, field_summary, 190.085
cxl, kokkos, icpc, describe, 129.01
cxl, raja, icpc, dot, 231.18
cxl, raja, icpc, complex_sum, 38.6223
cxl, raja, icpc, complex_sum_soa, 234.535
cxl, raja, icpc, field_summary, 169.281
cxl, sycl, dpcpp, dot, 76.6413
cxl, sycl, dpcpp, complex_sum, 89.1591
cxl, sycl, dpcpp, complex_sum_soa, 82.8572
cxl, sycl, dpcpp, complex_min, 41.2856
cxl, sycl, dpcpp, field_summary, 16.7563
cxl, sycl, dpcpp, describe, 15.713

cxl, omp, icpc, dot, 233.331
cxl, omp, icpc, complex_sum, 63.5056
cxl, omp, icpc, complex_sum_soa, 234.078
cxl, omp, icpc, complex_min, 25.8738
cxl, omp, icpc, field_summary, 190.46
cxl, omp, icpc, describe, 136.173
cxl, kokkos, icpc, dot, 230.567
cxl, kokkos, icpc, complex_sum, 238.974
cxl, kokkos, icpc, complex_sum_soa,230.164
cxl, kokkos, icpc, complex_min, 144.876
cxl, kokkos, icpc, field_summary, 189.361
cxl, kokkos, icpc, describe, 129.463
cxl, raja, icpc, dot, 231.615
cxl, raja, icpc, complex_sum, 38.6291
cxl, raja, icpc, complex_sum_soa, 233.791
cxl, raja, icpc, field_summary, 169.236
cxl, sycl, dpcpp, dot, 77.6357
cxl, sycl, dpcpp, complex_sum, 93.4717
cxl, sycl, dpcpp, complex_sum_soa, 80.4981
